Borough,Block,Lot,CD,CT2010,CB2010,SchoolDist,Council,ZipCode,FireComp,PolicePrct,HealthCenterDistrict,HealthArea,SanitBoro,SanitDistrict,SanitSub,Address,ZoneDist1,ZoneDist2,ZoneDist3,ZoneDist4,Overlay1,Overlay2,SPDist1,SPDist2,SPDist3,LtdHeight,SplitZone,BldgClass,LandUse,Easements,OwnerType,OwnerName,LotArea,BldgArea,ComArea,ResArea,OfficeArea,RetailArea,GarageArea,StrgeArea,FactryArea,OtherArea,AreaSource,NumBldgs,NumFloors,UnitsRes,UnitsTotal,LotFront,LotDepth,BldgFront,BldgDepth,Ext,ProxCode,IrrLotCode,LotType,BsmtCode,AssessLand,AssessTot,ExemptLand,ExemptTot,YearBuilt,YearAlter1,YearAlter2,HistDist,Landmark,BuiltFAR,ResidFAR,CommFAR,FacilFAR,BoroCode,BBL,CondoNo,Tract2010,XCoord,YCoord,ZoneMap,ZMCode,Sanborn,TaxMap,EDesigNum,APPBBL,APPDate,PLUTOMapID,FIRM07_Flag,PFIRM15_Flag,Version,price_sf
MN,619,81,102,73,4001,2,3,10014,L005,6,15,6400,1,2,2B,85 CHRISTOPHER STREET,R6,C1-6,,,,,,,,,Y,C7,4,0,P,CHRISTOPHER ST.ASSOCI,2275,10950,900,10050,0,900,0,0,0,0,2,1,6,20,22,25,91,25,72,,2,N,5,0,315000,1217250,0,0,1905,1986,0,Greenwich Village Historic District,,4.81,2.43,0,4.8,1,1006190081,0,73,983180,206566,12a,,103 017,10210,,0,,1,,,17v1.1,111.1643836
MN,883,63,106,68,6000,2,2,10016,E016,13,14,5300,1,6,2A,136 EAST 28 STREET,R8B,,,,,,,,,,N,C5,2,0,,"QUAD TWO REALTY,",2469,9695,895,8800,0,895,0,0,0,0,2,1,5,18,20,25,98.75,25,89,,3,N,5,2,142650,1077750,0,0,1935,0,0,,,3.93,4,0,4,1,1008830063,0,68,989203,209702,8d,,104 006,10307,,0,,1,,,17v1.1,111.1655493
MN,1867,1,109,201.01,1002,3,7,10025,E047,26,16,1800,1,9,1B,1101 AMSTERDAM AVENUE,R8,,,,C1-4,,,,,,N,I1,8,0,X,ST LUKE'S/ROOSEVELT H,20183,148067,148067,0,0,0,0,0,0,148067,2,1,11,0,1,201.83,100,194.83,79.58,,0,N,3,5,1021500,16461450,1021500,16461450,1906,0,0,,,7.34,6.02,0,6.5,1,1018670001,0,20101,994914,232816,5c,,107N067,10703,,0,,1,,,17v1.1,111.175684
MN,1534,32,108,146.02,4000,2,5,10128,L013,19,13,3700,1,8,5B,238 EAST 89 STREET,R8B,,,,,,,,,,N,C4,2,0,,89TH STREET ASSOCIATE,2517,9350,0,9350,0,0,0,0,0,0,2,1,5,20,20,25,100.67,25,87,,3,N,5,2,103050,1039500,0,0,1967,1984,0,,,3.71,4,0,4,1,1015340032,0,14602,997780,223419,9a,,108S035,10514,,0,,1,,,17v1.1,111.1764706
MN,1534,33,108,146.02,4000,2,5,10128,L013,19,13,3700,1,8,5B,236 EAST 89 STREET,R8B,,,,,,,,,,N,C4,2,0,,89TH STREET ASSOCIATE,2517,9350,0,9350,0,0,0,0,0,0,2,1,5,20,20,25,100.67,25,87,,3,N,5,2,103050,1039500,0,0,1920,1985,0,,,3.71,4,0,4,1,1015340033,0,14602,997758,223431,9a,,108S035,10514,,0,,1,,,17v1.1,111.1764706
MN,414,56,103,18,2003,2,1,10002,E015,7,14,7400,1,3,2B,97 ORCHARD STREET,C4-4A,,,,,,,,,,N,P7,8,0,X,LOWER EAST SIDE TENEM,2177,8435,8435,0,0,2600,0,0,0,5835,2,1,5,0,1,24.83,89,24.83,68,,0,N,4,5,328050,937800,328050,937800,1863,1986,0,,,3.87,4,4,4,1,1004140056,0,18,986944,201062,12c,,101N078,10204,,0,,1,,,17v1.1,111.1796088
MN,914,7,106,70,1000,2,2,10016,L007,17,14,5800,1,6,2A,207 EAST 33 STREET,R8B,,,,,,,,,,N,D1,3,0,P,33RD STREET INVESTORS,5312,20710,0,20710,0,0,0,0,0,0,2,1,5,39,39,49.46,107.46,49,91,,3,Y,5,2,202500,2302650,0,0,1910,0,0,,,3.9,4,0,4,1,1009140007,0,70,990397,210696,8d,,104 021,10308,,0,,1,,,17v1.1,111.1854177
MN,625,26,102,77,3006,2,3,10014,L005,6,15,6100,1,2,3B,622 HUDSON STREET,C1-6,,,,,,,,,,N,D4,3,0,,TABLE BAY CORP,5032,15084,0,15084,0,0,0,0,0,0,2,1,4,31,31,80.75,57.5,80,62,,2,Y,3,1,463500,1677150,4720,4720,1940,1985,0,Greenwich Village Historic District,,3,3.44,2,6.5,1,1006250026,0,77,982766,208135,8b,,103 016,10210,,0,,1,,,17v1.1,111.1873508
MN,643,57,102,79,3000,2,3,10014,L005,6,15,6100,1,2,3B,838 GREENWICH STREET,R6,M1-5,,,,,,,,,Y,D0,3,0,,838 GREENWICH ST CORP,4085,18969,0,18969,0,0,0,0,0,0,2,1,4,29,29,44,95.92,44,85,,3,Y,5,2,607500,2109150,18880,18880,1900,1981,0,Gansevoort Market Historic District,,4.64,2.43,0,4.8,1,1006430057,0,79,982390,208532,8b,,103 014,10210,,0,,1,,,17v1.1,111.1893089
MN,584,46,102,67,4002,2,3,10014,E024,6,15,6400,1,2,2B,53 MORTON STREET,R6,,,,,,,,,,N,D4,3,0,,55 MORTON STREET TENA,7500,40180,0,40180,0,0,0,0,0,0,2,1,6,122,122,75.17,100,25,84,,3,N,5,2,585000,4467600,0,0,1900,0,0,Greenwich Village Historic District,,5.36,2.43,0,4.8,1,1005840046,0,67,982647,205630,12a,,103 004,10208,,0,,1,,,17v1.1,111.1896466
