Borough,Block,Lot,CD,CT2010,CB2010,SchoolDist,Council,ZipCode,FireComp,PolicePrct,HealthCenterDistrict,HealthArea,SanitBoro,SanitDistrict,SanitSub,Address,ZoneDist1,ZoneDist2,ZoneDist3,ZoneDist4,Overlay1,Overlay2,SPDist1,SPDist2,SPDist3,LtdHeight,SplitZone,BldgClass,LandUse,Easements,OwnerType,OwnerName,LotArea,BldgArea,ComArea,ResArea,OfficeArea,RetailArea,GarageArea,StrgeArea,FactryArea,OtherArea,AreaSource,NumBldgs,NumFloors,UnitsRes,UnitsTotal,LotFront,LotDepth,BldgFront,BldgDepth,Ext,ProxCode,IrrLotCode,LotType,BsmtCode,AssessLand,AssessTot,ExemptLand,ExemptTot,YearBuilt,YearAlter1,YearAlter2,HistDist,Landmark,BuiltFAR,ResidFAR,CommFAR,FacilFAR,BoroCode,BBL,CondoNo,Tract2010,XCoord,YCoord,ZoneMap,ZMCode,Sanborn,TaxMap,EDesigNum,APPBBL,APPDate,PLUTOMapID,FIRM07_FLAG,PFIRM15_FLAG,Version,price_sf
BK,5407,35,312,478,1002,20,44,11218,L148,66,35,7000,3,14,2C,918 MC DONALD AVENUE,M1-1,,,,,,,,,,N,K4,4,0,,916-918 MCDONALD AVEA,2000,3300,2200,1100,0,2200,0,0,0,0,2,1,3,1,3,20,100,20,55,,3,N,5,0,85500,195750,0,0,1920,0,0,,,1.65,0,1,2.4,3,3054070035,0,478,990445,169395,22c,,310A036,31610,,0,,1,,,17v1.1,59.31818182
BK,5669,2,312,218,1001,20,44,11219,E247,66,39,6800,3,12,1D,5321 12 AVENUE,R5,,,,,,,,,,N,M1,8,0,X,KEREN TOLDOS Y   V YO,2154,3300,3300,0,0,0,0,0,0,3300,2,1,2,0,1,23.42,92,20,55,,2,N,5,0,48600,195750,48600,195750,1915,0,0,,,1.53,1.25,0,2,3,3056690002,0,218,985127,170099,22c,,306A050,31707,,0,,1,,,17v1.1,59.31818182
BK,1888,71,302,191,3008,13,35,11205,L119,88,36,1410,3,2,4E,96 WAVERLY AVENUE,R6B,,,,,,,,,,N,C3,2,0,,"GULMAN, STANLEY",1600,2400,0,2400,0,0,0,0,0,0,2,1,3,4,4,20,80,20,40,,0,N,5,5,62127,142365,0,0,1935,0,0,,,1.5,2,0,2,3,3018880071,0,191,993007,192423,12d,,302 052,30701,,0,,1,,,17v1.1,59.31875
BK,1073,23,306,165,2001,15,39,11215,Q001,78,36,4500,3,6,4E,38 MONTGOMERY PLACE,R7B,,,,,,,,,,N,C6,2,0,,38 MONTGOMERY PL CORP,2000,4000,0,4000,0,0,0,0,0,0,2,1,3.5,4,4,20,100,20,50,E,0,N,5,2,6852,237276,0,0,1928,0,0,Park Slope Historic District,,2,3,0,3,3,3010730023,0,165,991705,183746,16d,,306 049,30405,,0,,1,,,17v1.1,59.319
BK,1872,26,302,211,2000,13,35,11205,L119,88,36,1100,3,2,4D,156 FLUSHING AVENUE,M1-2,,,,,,,,,,N,O5,5,0,P,156 FLUSHING NY LLC,8118,13268,13268,0,6747,0,0,6521,0,0,2,1,4,0,4,61.92,133.42,61.92,133.42,,0,Y,5,5,72900,787050,0,0,1930,2012,0,,,1.63,0,2,4.8,3,3018720026,0,211,992524,193411,12d,,302 048,30701,,0,,1,,,17v1.1,59.31941513
BK,3947,5,305,1198,3002,19,37,11207,L175,75,34,3820,3,5,1D,230 HENDRIX STREET,R8A,,,,C2-4,,EC-5,,,,N,M1,8,0,X,ST MALACHY RC CHURCH,35662,28302,28302,0,0,0,0,0,0,28302,2,2,2,0,0,85,200,40,80,E,1,Y,4,0,201150,1678950,201150,1678950,1958,2010,0,,,0.79,6,0,6,3,3039470005,0,1198,1014518,185936,17c,,316 012,31302,E-366,0,,1,,,17v1.1,59.32266271
BK,1858,39,303,273,3002,13,36,11216,E235,79,32,3000,3,3,3A,1555 FULTON STREET,R7D,,,,C2-4,,,,,,N,K4,4,0,,1555-1557 FULTON DEVE,4001,6895,4915,1980,0,4915,0,0,0,0,2,2,3,2,4,40,100,20,55,E,0,N,5,5,23400,409050,0,0,1930,2000,0,,,1.72,4.2,0,4.2,3,3018580039,0,273,1001155,187047,17a,,305 056,30612,E-185,0,,1,,,17v1.1,59.32559826
BK,2655,5,301,589,2003,14,33,11222,L146,94,30,300,3,1,3B,228 NORMAN AVENUE,R6B,,,,,,,,,,N,C4,2,0,,228 NORMAN REALTY LLC,2375,6652,0,6652,0,0,0,0,0,0,2,1,4,12,12,25,95,25,85,,2,N,5,2,53550,394650,0,0,1930,0,0,,,2.8,2,0,2,3,3026550005,0,589,999700,204259,13a,,304 051,30904,,0,,1,,,17v1.1,59.32802165
BK,763,69,307,20,1000,15,38,11220,E201,72,39,6500,3,7,3C,213 48 STREET,M1-2D,,,,,,,,,,N,W9,8,0,P,ASSOCIATION/C R M DIN,14023,14000,14000,0,0,0,14000,0,0,0,2,1,1,0,1,140,100.17,140,93,,2,N,5,0,141750,830700,141750,830700,1960,1986,0,,,1,1.65,2,4.8,3,3007630069,0,20,980091,176099,16b,,306 003,30305,,0,,1,,,17v1.1,59.33571429
BK,8408,41,318,696.02,1005,22,46,11234,E323,63,35,8822,3,18,4E,2083 EAST 65 STREET,R3-2,,,,,,,,,,N,O8,5,0,,2083 EAST 65TH STREET,2000,3420,2000,1420,2000,0,0,0,0,0,2,1,2,1,2,20,100,20,100,G,2,N,3,1,29700,202950,0,0,1945,0,0,,,1.71,0.6,0,1,3,3084080041,0,69602,1008797,164114,23d,,319 057,32502,,0,,1,,,17v1.1,59.34210526
