Borough,Block,Lot,CD,CT2010,CB2010,SchoolDist,Council,ZipCode,FireComp,PolicePrct,HealthCenterDistrict,HealthArea,SanitBoro,SanitDistrict,SanitSub,Address,ZoneDist1,ZoneDist2,ZoneDist3,ZoneDist4,Overlay1,Overlay2,SPDist1,SPDist2,SPDist3,LtdHeight,SplitZone,BldgClass,LandUse,Easements,OwnerType,OwnerName,LotArea,BldgArea,ComArea,ResArea,OfficeArea,RetailArea,GarageArea,StrgeArea,FactryArea,OtherArea,AreaSource,NumBldgs,NumFloors,UnitsRes,UnitsTotal,LotFront,LotDepth,BldgFront,BldgDepth,Ext,ProxCode,IrrLotCode,LotType,BsmtCode,AssessLand,AssessTot,ExemptLand,ExemptTot,YearBuilt,YearAlter1,YearAlter2,HistDist,Landmark,BuiltFAR,ResidFAR,CommFAR,FacilFAR,BoroCode,BBL,CondoNo,Tract2010,XCoord,YCoord,ZoneMap,ZMCode,Sanborn,TaxMap,EDesigNum,APPBBL,APPDate,PLUTOMapID,FIRM07_FLAG,PFIRM15_FLAG,Version,price_sf
BX,2341,40,201,51,1003,7,8,10451,L017,40,23,3800,2,1,1A,346 GRAND CONCOURSE,C6-2A,,,,,,,,,,N,K1,5,0,P,DIEGO YEPES,4000,2450,2450,0,0,2450,0,0,0,0,2,1,1,0,1,40,100,35,70,,0,N,5,5,43200,142650,0,0,1953,0,0,,,0.61,6.02,6,6.5,2,2023410040,0,51,1004083,236276,6a,,209N054,20903,E-227,0,,1,,,17v1.1,58.2244898
BX,2340,218,201,51,2002,7,8,10451,L017,40,23,3800,2,1,1A,405 RIDER AVENUE,M1-4/R6A,,,,,,MX-13,,,,N,G1,10,0,P,405 RIDER AVE REALTY,2380,2187,2187,0,437,0,1750,0,0,0,2,1,1,0,2,67.42,50,67.42,25,,0,Y,5,5,16200,127350,0,0,1931,0,0,,,0.92,3,2,3,2,2023400218,0,51,1004892,236370,6a,,209N068,20903,E-227,0,,1,,,17v1.1,58.23045267
BX,2369,12,203,185,1005,9,17,10456,L055,42,22,3500,2,3,1B,1016 WASHINGTON AVENUE,M1-1/R7-2,,,,,,MX-7,,,,N,D6,4,0,P,HPDC2 HOUSING DEVELOP,13371,105623,21125,84498,0,0,10562,0,0,10563,2,1,9,65,67,146,105,146,72,,0,N,3,5,301050,6150600,301050,6150600,2014,0,0,,,7.9,3.44,1,6.5,2,2023690012,0,185,1009388,240454,6c,Y,210S032,20904,E-118,2023690012,2/26/2015,1,,,17v1.1,58.23163516
BX,2981,14,203,157,2002,12,17,10460,E082,42,22,2120,2,3,1A,1490 SOUTHERN BOULEVARD,R7-1,,,,C2-4,,,,,,N,K4,4,0,C,HOUSING PRESERVATION,15000,9120,9120,0,0,2280,0,0,0,6840,2,1,2,0,4,150,100,120,38,,0,N,5,5,202500,531450,202500,531450,1931,1994,0,,,0.61,3.44,0,4.8,2,2029810014,0,157,1014749,242893,3d,,216 011,21106,,0,,1,,,17v1.1,58.27302632
BX,3165,33,205,237.03,1003,10,14,10468,L033,46,25,1600,2,5,2A,160 EAST 188 STREET,C4-4,,,,,,C,,,,N,K2,5,0,,A & T REALTY COMPANY,6700,11560,11560,0,0,11560,0,0,0,0,2,1,2,0,6,40,102.08,40,102.08,,3,Y,5,0,128700,673650,0,0,1930,0,0,,,1.73,3.44,3.4,6.5,2,2031650033,0,23703,1012372,253073,3c,,214 017,21109,,0,,1,,,17v1.1,58.27422145
BX,5709,54,208,289,3003,10,11,10463,L046,50,21,200,2,8,2A,3021 KINGSBRIDGE AVENUE,R6,,,,,,,,,,N,M3,8,0,,ST JOHNS R C CHURCH,3585,6401,6401,0,0,0,0,0,0,6401,2,1,3,0,1,50,71.58,32,56,E,2,N,5,0,31950,373050,0,0,1931,0,0,,,1.79,2.43,0,4.8,2,2057090054,0,289,1009705,259542,1d,,213 012,21901,,0,,1,,,17v1.1,58.27995626
BX,3029,15,206,379,1002,10,15,10457,L056,48,25,1700,2,6,2A,2044 WEBSTER AVENUE,C8-3,,,,,,,,,,N,K2,5,0,X,"CACTUS PROPERTIES 3,",66181,55986,55986,0,0,34986,0,0,21000,0,2,1,2,0,1,251,237,261,127,E,2,Y,5,0,461700,3262950,461700,3262950,1931,2010,0,,,0.85,0,2,6.5,2,2030290015,0,379,1012481,249500,3c,,215 070,21107,,0,,1,,,17v1.1,58.28153467
BX,3065,31,206,391,5000,10,15,10458,E088,48,21,1100,2,6,1B,2376 HOFFMAN STREET,R6,,,,C2-4,C1-4,,,,,Y,C1,2,0,,SKY LAKE HOFFMAN BRON,2996,8188,0,8188,0,0,0,0,0,0,2,2,4,8,8,50,119.83,25,66,,2,N,5,2,9095,477303,3143,471351,2006,0,0,,,2.73,2.43,0,4.8,2,2030650031,0,391,1015045,250913,3c,,214 009,21107,,2030650031,2/8/2006,1,,,17v1.1,58.29298974
BX,3065,32,206,391,5000,10,15,10458,E088,48,21,1100,2,6,1B,2378 HOFFMAN STREET,R6,,,,C2-4,C1-4,,,,,Y,C1,2,0,,SKY LAKE HOFFMAN BRON,2996,8188,0,8188,0,0,0,0,0,0,2,1,4,8,8,25,119.1,25,66,,2,N,5,2,9095,477303,3143,471351,2006,0,0,,,2.73,2.43,0,4.8,2,2030650032,0,391,1015059,250934,3c,,214 009,21107,,2030650031,2/8/2006,1,,,17v1.1,58.29298974
BX,3065,35,206,391,5000,10,15,10458,E088,48,21,1100,2,6,1B,2384 HOFFMAN STREET,R6,,,,C1-4,,,,,,N,C1,2,0,P,SKY LAKE HOFFMAN BRON,2978,8188,0,8188,0,0,0,0,0,0,2,1,4,8,8,25,119.1,20,66.5,,2,N,5,0,9886,477303,0,432888,2005,0,0,,,2.75,2.43,0,4.8,2,2030650035,0,391,1015100,250997,3c,,214 009,21107,,0,,1,,,17v1.1,58.29298974
BX,5769,132,208,285,1000,10,11,10463,L052,50,21,200,2,8,2B,3660 WALDO AVENUE,R4,,,,,,,,,,N,D1,3,0,,3660 WALDO LLC,20320,72000,0,72000,0,0,0,0,0,0,2,1,6,86,86,100,203,100,158.67,,0,N,5,5,457200,4198050,0,0,1940,0,0,,,3.54,0.9,0,2,2,2057690132,0,285,1010824,262353,1d,,213 034,21902,,0,,1,,,17v1.1,58.30625
BX,4440,71,211,328,1002,11,13,10467,E097,49,24,810,2,11,3C,800 ALLERTON AVENUE,C8-1,,,,,,,,,,N,K9,5,0,,CAROLEI REALTY LLC,13057,12310,12310,0,0,4757,7553,0,0,0,2,1,1,0,8,163.9,159.33,163.75,234.25,,1,Y,3,0,246600,717750,0,0,1926,0,0,,,0.94,0,1,2.4,2,2044400071,0,328,1022084,254537,4a,,220 025,21602,,0,,1,,,17v1.1,58.30625508
